도착 시군구 코드,평균 이동 시간(분),이동인구(합)
11010,9356120,19385709.6
11020,9306020,19715322.61
11030,8514380,14707082.87
11040,8887140,17449273.95
11050,8625540,17947278.99
11060,8838130,16288077.28
11070,7939300,13907465.59
11080,9072420,18757182.35
11090,7649610,12570412.3
11100,6995880,10821566.75
11110,8975240,20611941.03
11120,8077520,16495472.31
11130,8465390,16301660.39
11140,9494790,23639807.3
11150,7379950,15069643.56
11160,9388010,21839762.06
11170,7946750,14463071.65
11180,6362000,8111343.74
11190,9581360,25006858.6
11200,8408680,15762459.46
11210,8772170,18725641.04
11220,10291660,28911318.58
11230,11437560,44684651.43
11240,10610520,34837613.05
11250,8430800,21101460.33
